Company,Date Posted,Job_Description,Location,Title
McDonald's Corporation,10/9/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. But some managers also lead Departments. These managers' responsibilities may include managing assigned Systems, like Training, Food Safet ...","Herndon, VA",Department Manager - All shifts
McDonald's Corporation,10/9/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. A Shift Manager provides leadership to crew and other managers during a shift to ensure great Quality, Service and Cleanliness to customer ...","Herndon, VA",Shift manager - All shifts
McDonald's Corporation,10/9/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. A Shift Manager provides leadership to crew and other managers during a shift to ensure great Quality, Service and Cleanliness to customer ...","Alexandria, VA",Shift manager - All shifts
McDonald's Corporation,10/9/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. But some managers also lead Departments. These managers' responsibilities may include managing assigned Systems, like Training, Food Safet ...","Alexandria, VA",Department Manager - All shifts
McDonald's Corporation,10/9/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. But some managers also lead Departments. These managers' responsibilities may include managing assigned Systems, like Training, Food Safet ...","Alexandria, VA",Department Manager - All shifts
McDonald's Corporation,10/9/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. A Shift Manager provides leadership to crew and other managers during a shift to ensure great Quality, Service and Cleanliness to customer ...","Alexandria, VA",Shift manager - All shifts
McDonald's Corporation,10/9/2016,management Opportunities Description / Requirements Job Responsibilities As a Shift Manager you will support the management team in the day to day running of the Restaurant in accordance with company policies and procedures. You will support the team by leading by example with an enthusiastic and ad ...,"York, PA",Shift manager - All shifts
McDonald's Corporation,10/9/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. But some managers also lead Departments. These managers' responsibilities may include managing assigned Systems, like Training, Food Safet ...","Hyattsville, MD",Department Manager - All shifts
McDonald's Corporation,10/9/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. A Shift Manager provides leadership to crew and other managers during a shift to ensure great Quality, Service and Cleanliness to customer ...","Hyattsville, MD",Shift manager - All shifts
McDonald's Corporation,10/9/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. But some managers also lead Departments. These managers' responsibilities may include managing assigned Systems, like Training, Food Safet ...","Bowie, MD",Department Manager - All shifts
McDonald's Corporation,10/9/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. A Shift Manager provides leadership to crew and other managers during a shift to ensure great Quality, Service and Cleanliness to customer ...","Bowie, MD",Shift manager - All shifts
McDonald's Corporation,10/9/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. A Shift Manager provides leadership to crew and other managers during a shift to ensure great Quality, Service and Cleanliness to customer ...","Edgewood, MD",Shift manager - All shifts
McDonald's Corporation,10/9/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. But some managers also lead Departments. These managers' responsibilities may include managing assigned Systems, like Training, Food Safet ...","Edgewood, MD",Department Manager - All shifts
RA Sushi,10/9/2016,In accordance with Benihana's service and cooking procedures Greets and welcomes guests within 15 minutes of their teppan order(s). Performs a cooking show for assigned tables ensuring his/her interaction with guests is appropriate and non offensive. Readily provides guests with information about Be ...,"Bethesda, MD",BH - Teppanyaki Chef
RA Sushi,10/9/2016,"In accordance with RA Sushi's service and cooking procedures  Prepares or directs preparations of all recipes in compliance with portions sizes, quality standards, department rules, policies and procedures in the RA Kitchen Guide and RA Employee Handbook.  Prepares an extensive variety of cold and h ...","Baltimore, MD",RA - Cook
RA Sushi,10/9/2016,"In accordance with RA Sushi's service and cooking procedures Prepares the weekly work schedules of all sushi chefs and submits to management for approval. Advises management on a variety of issues including but not limited to food quality, inventory levels, equipment operations, sanitary conditions, ...","Baltimore, MD",RA - Head Sushi Chef
Bob Evans Farms,10/9/2016,"You’ve shared a table with us NOW LET US SHARE A REWARDING CAREER WITH YOU! When you join Bob Evans Farms, you’re joining a trustworthy and socially responsible organization that recognizes people are our greatest asset. And in our restaurants, you’ll have an opportunity to grow wi ...","Laurel, MD",GRILL COOK
Brinker International,10/8/2016,"Chili's Grill & Bar, Restaurant Manager Elkton MD (002XQL) Be A Part Of What's Trending At Today's Chili's. #theshiftwhisperer On Sundays, you enjoy going to the park and feeding the ducks, and then putting them all neatly in a row. Why? Because you're a born Manager. There's a place for everything, ...","Elkton, MD","Chili's Grill & Bar, Restaurant Manager - Elkton MD"
Brinker International,10/8/2016,"Maggiano's Little Italy Tysons Corner Restaurant Manager (002XR1) To Work At Maggiano's You Have To Love People And Liking Sinatra Doesn't Hurt! Do you think fast and act fast? Do you have high standards? Does hearing ""party of 200"" get you weak in the knees? Then we should talk! Check out this job, ...","McLean, VA",Maggiano's Little Italy Tysons Corner - Restaurant Manager
ARAMARK,10/8/2016,"Responsible for the supervision, training, and management of the food service operation. Ensure that appropriate quantities of food are prepared and served. Essential Tasks & Responsibilities Produce and maintain work schedules and may prepare production records. Direct daily activities. Maintains f ...","Washington, DC",Catering Supervisor - American University
ARAMARK,10/8/2016,Oversee and assist in preparation of food items for the day and dating products Oversee and assist in setting up and breaking down of stations designated by the manager Cook and otherwise prepare foods according to recipes and directions Responsible for use of correct portions when preparing and ser ...,"Frederick, MD",Food Service Lead Worker - Hood College
Zoes Kitchen,10/8/2016,"Do you have prior restaurant and/or culinary experience? Do you have considerable knowledge of the methods and practices of food preparation and service? Do you have a passion for food and the restaurant business? If so, we'd like to meet you! Our 100% fresh kitchen is challenging and very hands on, ...","Baltimore, MD",Cook
Costco,10/8/2016,"Prepares and sells food and drinks to customers. Pulls and stocks supplies and ingredients, cleans kitchen area and eating area. Provides prompt and courteous member service. ...","Brandywine, MD; HOOVER, AL; Huntsville, AL; Mobile, AL; Montgomery, AL; Anchorage, AK; Juneau, AK; Avondale, AZ; Chandler, AZ; Gilbert, AZ; Glendale, AZ; Mesa, AZ; Phoenix, AZ; Prescott, AZ; Scottsdal...",Food Service Assistant
McDonald's Corporation,10/8/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. But some managers also lead Departments. These managers' responsibilities may include managing assigned Systems, like Training, Food Safet ...","Sterling, VA",Department Manager - All shifts
McDonald's Corporation,10/8/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. A Shift Manager provides leadership to crew and other managers during a shift to ensure great Quality, Service and Cleanliness to customer ...","Sterling, VA",Shift manager - All shifts
McDonald's Corporation,10/8/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. But some managers also lead Departments. These managers' responsibilities may include managing assigned Systems, like Training, Food Safet ...","Towson, MD",Department Manager - All shifts
McDonald's Corporation,10/8/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. A Shift Manager provides leadership to crew and other managers during a shift to ensure great Quality, Service and Cleanliness to customer ...","Towson, MD",Shift manager - All shifts
McDonald's Corporation,10/8/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. But some managers also lead Departments. These managers' responsibilities may include managing assigned Systems, like Training, Food Safet ...","Glen Burnie, MD",Department Manager - All shifts
McDonald's Corporation,10/8/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. A Shift Manager provides leadership to crew and other managers during a shift to ensure great Quality, Service and Cleanliness to customer ...","Glen Burnie, MD",Shift manager - All shifts
McDonald's Corporation,10/8/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. But some managers also lead Departments. These managers' responsibilities may include managing assigned Systems, like Training, Food Safet ...","Edgewater, MD",Department Manager - All shifts
McDonald's Corporation,10/8/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. A Shift Manager provides leadership to crew and other managers during a shift to ensure great Quality, Service and Cleanliness to customer ...","Edgewater, MD",Shift manager - All shifts
McDonald's Corporation,10/8/2016,"crew Opportunities Description / Requirements It's time you worked for someone who will give you the tools to learn, grow and be what you want to be both personally and professionally. We're looking for hard working, enthusiastic individuals who want to be a part of a winning team. If you enjoy work ...","Edgewater, MD",Crew - All shifts
McDonald's Corporation,10/8/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. But some managers also lead Departments. These managers' responsibilities may include managing assigned Systems, like Training, Food Safet ...","Hyattsville, MD; Langley Park, MD",Department Manager - All shifts
McDonald's Corporation,10/8/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. A Shift Manager provides leadership to crew and other managers during a shift to ensure great Quality, Service and Cleanliness to customer ...","Hyattsville, MD; Langley Park, MD",Shift manager - All shifts
McDonald's Corporation,10/8/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. A Shift Manager provides leadership to crew and other managers during a shift to ensure great Quality, Service and Cleanliness to customer ...","Olney, MD",Shift manager - All shifts
McDonald's Corporation,10/8/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. But some managers also lead Departments. These managers' responsibilities may include managing assigned Systems, like Training, Food Safet ...","Olney, MD",Department Manager - All shifts
McDonald's Corporation,10/8/2016,"crew Opportunities Description / Requirements It's time you worked for someone who will give you the tools to learn, grow and be what you want to be both personally and professionally. We're looking for hard working, enthusiastic individuals who want to be a part of a winning team. If you enjoy work ...","Olney, MD",Crew - All shifts
RA Sushi,10/8/2016,In accordance with RA Sushi's service and cooking procedures Greets and welcomes guests upon arrival to the sushi bar. Responds promptly and courteously to guest requests and provides guests with information about foods. Ensures guests are satisfied with food quality and service while communicating  ...,"Baltimore, MD",RA - Sushi Chef
Nordstrom,10/8/2016,"Deliver exceptional customer service to all customers who walk through our doors Be knowledgeable and enthusiastic about coffee, tea and drink preparation and products Prepare and serve beverages and food items consistently by adhering to all recipe standards Assist with setup, cleanup, stock work a ...","Dulles, VA",Barista - Dulles Town Center
Nordstrom,10/8/2016,"Deliver exceptional customer service by preparing food items consistently and adhering to all recipe standards Maintain a safe working environment by using proper food handling skills and food safety guidelines Complete kitchen tasks such as line setup, food preparation, cleanup and breakdown Qualif ...","Bethesda, MD",Line/Prep Cook - Montgomery Mall
Nordstrom,10/8/2016,"Deliver exceptional service by greeting and serving customers Be knowledgeable and enthusiastic about the restaurant's menu and products Suggest additional items to customers, as appropriate Support other areas of the restaurant as requested, such as answering telephones and completing financial tra ...","Towson, MD",Restaurant Server - Towson Town Center
Nordstrom,10/8/2016,"Deliver exceptional customer service by preparing food items consistently and adhering to all recipe standards Maintain a safe working environment by using proper food handling skills and food safety guidelines Complete kitchen tasks such as line setup, food preparation, cleanup and breakdown Qualif ...","Mclean, VA",Line/Prep Cook - Tysons Corner Center
Nordstrom,10/8/2016,"Restaurant Server Tysons Corner Center Restaurant Server Tysons Corner Center (266003) For employment consideration, only one application is necessary. Please apply only to the one position you are primarily interested in pursuing. Nordstrom is a fashion specialty retailer that also operates competi ...","Mclean, VA",Restaurant Server - Tysons Corner Center
Nordstrom,10/8/2016,"Deliver exceptional customer service to all customers who walk through our doors Be knowledgeable and enthusiastic about coffee, tea and drink preparation and products Prepare and serve beverages and food items consistently by adhering to all recipe standards Assist with setup, cleanup, stock work a ...","Towson, MD",Barista - Towson Town Center
Nordstrom,10/8/2016,"Deliver exceptional service by greeting and serving customers Be knowledgeable and enthusiastic about the restaurant's menu and products Suggest additional items to customers, as appropriate Support other areas of the restaurant as requested, such as answering telephones and completing financial tra ...","Bethesda, MD",Restaurant Server - Montgomery Mall
Nordstrom,10/8/2016,"Deliver exceptional customer service to all customers who walk through our doors Be knowledgeable and enthusiastic about coffee, tea and drink preparation and products Prepare and serve beverages and food items consistently by adhering to all recipe standards Assist with setup, cleanup, stock work a ...","Bethesda, MD",Barista - Montgomery Mall
Nordstrom,10/8/2016,"Deliver exceptional service by ensuring all dishes are spotlessly washed quickly and efficiently Support other areas of the restaurant as necessary, such as setup, cleanup, prep work, table bussing and equipment maintenance Qualifications Qualifications Have a high school diploma, or equivalent (pre ...","Bethesda, MD",Dishwasher - Montgomery Mall
Nordstrom,10/8/2016,"Deliver exceptional customer service to all customers who walk through our doors Be knowledgeable and enthusiastic about coffee, tea and drink preparation and products Prepare and serve beverages and food items consistently by adhering to all recipe standards Assist with setup, cleanup, stock work a ...","Mclean, VA",Barista - Tysons Corner Center
Interstate Hotels & Resorts,10/8/2016,"You're like magic. You transform empty spaces into settings; and after the event, you make them disappear. You're happiest juggling at a fast pace, with a passion to please that equals the need for getting it right. Your sharp eye for detail quickly spots when something's amiss and when guests have  ...","Baltimore, MD",Banquet Houseperson
Interstate Hotels & Resorts,10/8/2016,"You're upbeat around people, happiest in continuous motion, and great at juggling tasks. Now, imagine getting paid for doing what comes naturally to you. Sound good? As Bartender, you will Provide exceptional service to guests by promptly welcoming and courteously serving guests in a can do fashion, ...","Washington, DC",Bartender
The Westin,10/8/2016,"The Sous Chef is responsible for ensuring that all meals coming from the kitchen are well prepared with regard to quality, consistency, eye appeal, taste and food cost. He/she is expected to provide training for all staff; meet corporate quality standards; and assist in establishing and enforcing fo ...","Arlington, VA",Sous Chef
Maryland Live! Casino,10/7/2016,"About Us and our F&B; Service Culture In Food and Beverage, we sincerely embrace the communities and cultures where we live, appreciate the values diversity brings, actively learn from others, and in turn, warmly share our knowledge and experiences with colleagues and guests. We highly value and show ...","Hanover, MD",Asian/Sushi Restaurant Server - PT
Maryland Live! Casino,10/7/2016,"About Us and our F&B; Service Culture In Food and Beverage, we sincerely embrace the communities and cultures where we live, appreciate the values diversity brings, actively learn from others, and in turn, warmly share our knowledge and experiences with colleagues and guests. We highly value and show ...","Hanover, MD",Asian/Sushi Restaurant Greeter/Hostess - PT
Ritz-Carlton Hotels & Resorts,10/7/2016,"Assistant Manager, Operations Rooms, Food & Beverage, Events (16001AKX) Marriott International portfolio of brands includes both JW Marriott and Marriott Hotels. Marriott Hotels , Marriott International's flagship brand with more than 500 global locations, is advancing the art of hosting so that our ...","Vienna, VA","Assistant Manager, Operations Rooms, Food & Beverage, Events"
SUPERVALU,10/7/2016,Cashier SHOPPERS Food & Pharmacy (Largo MD) Cashier SHOPPERS Food & Pharmacy (Largo MD) (79782) Cashier Job Overview Provides prompt and friendly service to customers and assist them when necessary. Operates a cash register and all the duties which correspond to this activity Job Responsibilities an ...,"Largo, MD",Cashier - SHOPPERS Food & Pharmacy (Largo MD)
Sodexo,10/7/2016,Manages all contract management service operations at a single account/unit. Plans and supervises special functions. Maintains cash control and payroll records. Hires and trains unit personnel. Maintains customer satisfaction and good public relations. Senior most person assigned to a one client acc ...,"Washington, DC",General Manager 2 - Food
Sodexo,10/7/2016,"Plans, directs and coordinates the activities of food production employees. Responsible for the purchasing and receiving of food and supplies, as well as monitoring the inventory. Maintains food production records/cost indicators. Plans and costs menus. Qualifications & Requirements Basic Education  ...","Washington, DC",Food Production Manager 1
Kimpton Hotels & Restaurants,10/7/2016,"Our mission is to be the best loved Hotel & Restaurant Company so regardless of position, we look for individuals who are passionate about providing genuine heartfelt care to our guest and employees. What you get to do To prepare food according to recipe and restaurant specifications in a timely and ...","Washington, DC",sushi chef PM
Kimpton Hotels & Restaurants,10/7/2016,"Our mission is to be the best loved Hotel & Restaurant Company so regardless of position, we look for individuals who are passionate about providing genuine heartfelt care to our guest and employees. What you get to do Provide, prep and set up for meals Your day to day Prepare food items using a qua ...","Washington, DC",Prep Cook
Kimpton Hotels & Restaurants,10/7/2016,"Our mission is to be the best loved Hotel & Restaurant Company so regardless of position, we look for individuals who are passionate about providing genuine heartfelt care to our guest and employees. What you get to do Providing restaurant guests excellent food quality, consistency, reasonable price ...","Baltimore, MD",Executive Sous Chef
Kimpton Hotels & Restaurants,10/7/2016,"Our mission is to be the best loved Hotel & Restaurant Company so regardless of position, we look for individuals who are passionate about providing genuine heartfelt care to our guest and employees. What you get to do Ensure guests receive clean and spotless china, silverware and glassware. Provide ...","Washington, DC",dishwasher
Army & Air Force Exchange Serv...,10/7/2016,"UNDER DESIGNATED SUPERVISION, PREPARES AND SERVES SIMPLE FOODS AND BEVERAGES. MAY OPERATE AN OVEN, DEEP FAT FRYER, OR OTHER KITCHEN EQUIPMENT IN A SITUATION WHERE SET PROCEDURES ARE FOLLOWED AND WHERE COOKING SKILLS ARE NOT INVOLVED. THIS POSITION REQUIRES ASSOCIATE TO BE FRIENDLY AND PASSIONATELY F ...","Fort Meade, MD",FOOD SERVICE WORKER - Arbys
ARAMARK,10/7/2016,"About Aramark Correctional Services Aramark Correctional Services (ACS) is far and away the leader in outsourced food services within the Corrections industry, preparing well over 1,000,000 meals a day for state, county and city facilities. We are perhaps best known for our food, but to be the leade ...","Arlington, VA",Food Service Manager - Alexandria County Detention Center
ARAMARK,10/7/2016,"Sets up and breaks down work stations Maintains a clean and sanitary work station Cooks and prepares food according to production guidelines and recipes Knowledge of food product, identification, and acceptable level of food quality Ensures food is stored at the appropriate temperature for the appro ...","Washington, DC",Cook -American University
Universal Health Services Inc.,10/7/2016,"The George Washington University Hospital (GW Hospital)is a 385 bed tertiary care, academic medical center located indowntown Washington, DC , next to the Foggy Bottom metro. GW Hospitalserves a diverse group of patients — from local residents toour nation’s leaders. As an academic medic ...","WASHINGTON, DC",Food Service Worker Dietary PRN
"Crestline Hotels & Resorts, LL...",10/7/2016,"Check with customers to ensure that they are enjoying their meals and take action to correct any problems. Collect payments from customers. Write patrons' food orders on order slips, memorize orders, or enter orders into computers for transmittal to kitchen staff. Prepare checks that itemize and tot ...","Washington, DC",Breakfast Host
Army & Air Force Exchange Serv...,10/6/2016,"UNDER DESIGNATED SUPERVISION, PREPARES AND SERVES A LIMITED VARIETY OF SIMPLE FOODS THAT REQUIRE VERY LIMITED AND MINIMAL COOKING SKILLS. THIS POSITION REQUIRES ASSOCIATE TO BE FRIENDLY AND PASSIONATELY FOCUSED ON DELIVERING A PERSONALIZED CUSTOMER EXPERIENCE. AS REQUIRED BY CHANGING WORK STATIONS I ...","Andrews Air Force Base, MD","FOOD SERVICE WORKER (CM-BK), JBA Burger King"
Army & Air Force Exchange Serv...,10/6/2016,"SUPERVISES A SHIFT OPERATION IN A FOOD ACTIVITY OPERATION. THIS POSITION REQUIRES ASSOCIATE TO BE FRIENDLY AND PASSIONATELY FOCUSED ON DELIVERING A PERSONALIZED CUSTOMER EXPERIENCE. 1.SUPERVISES THE PREPARATION AND SALE OF FOOD ITEMS DURING AN ASSIGNED SHIFT. RECEIVES, VERIFIES AND CHECKS QUALITY OF ...","Fort Belvoir, VA",FOOD SERVICE FOREMAN
Army & Air Force Exchange Serv...,10/6/2016,"UNDER DESIGNATED SUPERVISION, PREPARES AND SERVES SIMPLE FOODS AND BEVERAGES. MAY OPERATE AN OVEN, DEEP FAT FRYER, OR OTHER KITCHEN EQUIPMENT IN A SITUATION WHERE SET PROCEDURES ARE FOLLOWED AND WHERE COOKING SKILLS ARE NOT INVOLVED. THIS POSITION REQUIRES ASSOCIATE TO BE FRIENDLY AND PASSIONATELY F ...","Fort Meade, MD",FOOD SERVICE WORKER- Boston Market
Army & Air Force Exchange Serv...,10/6/2016,"UNDER DESIGNATED SUPERVISION, PREPARES AND SERVES SIMPLE FOODS AND BEVERAGES. MAY OPERATE AN OVEN, DEEP FAT FRYER, OR OTHER KITCHEN EQUIPMENT IN A SITUATION WHERE SET PROCEDURES ARE FOLLOWED AND WHERE COOKING SKILLS ARE NOT INVOLVED. THIS POSITION REQUIRES ASSOCIATE TO BE FRIENDLY AND PASSIONATELY F ...","Fort Belvoir, VA",Food Service Worker
Army & Air Force Exchange Serv...,10/6/2016,"UNDER DESIGNATED SUPERVISION, PREPARES AND SERVES SIMPLE FOODS AND BEVERAGES. MAY OPERATE AN OVEN, DEEP FAT FRYER, OR OTHER KITCHEN EQUIPMENT IN A SITUATION WHERE SET PROCEDURES ARE FOLLOWED AND WHERE COOKING SKILLS ARE NOT INVOLVED. THIS POSITION REQUIRES ASSOCIATE TO BE FRIENDLY AND PASSIONATELY F ...","Fort Belvoir, VA",Food Service Worker
University of Maryland Medical...,10/6/2016,"MG Cook Third Facility U of M Midtown Campus Employment Type Not Indicated Location Baltimore, MD Shift/Schedule EVENING Department MTC DIETARY Posted FTE 1.0 Job Posting Category Hours of Work M F,10a 6 30p ALT W/E Job ID # 48804 Benefits Eligible Minimum Education License/Cert Required Not Indicat ...","Baltimore, MD",MG Cook Third
Caesars Entertainment,10/6/2016,"Prepares food, including hot entrees, to specifications in an accurate and timely manner to provide guests with a quality product. Under general supervision, assists in the preparation of menu items by chopping vegetables, making salads, soups, sauces and putting together entrees.  JOB FUNCTIONS Del ...","Baltimore, MD",Johnny Sanchez Cook I (Part-Time)
Friendly's,10/6/2016,"SCOOPOLOGIST MISSION To bring the magic of our homemade ice cream to every guest through the creation of artistic quality, perfectly portioned ice cream treats. ESSENTIAL FUNCTIONS Treat our fragile premium ice creams and toppings with total respect and pride. Make products as fast as possible with  ...","Gettysburg, PA",Server - Ice Cream Scooper
Friendly's,10/6/2016,"MEMORY MAKER MISSION To provide a memorable dining experience for every guest through personalized service that will bring them back. ESSENTIAL FUNCTIONS Smile and welcome every guest to Friendly's, acknowledge new and returning guests differently. When drink orders are received at greeting, arrive  ...","Gettysburg, PA",Server
Nordstrom,10/6/2016,"Deliver exceptional customer service by preparing food items consistently and adhering to all recipe standards Maintain a safe working environment by using proper food handling skills and food safety guidelines Complete kitchen tasks such as line setup, food preparation, cleanup and breakdown Qualif ...","Columbia, MD",Line/Prep Cook - The Mall in Columbia
Sheppard Pratt,10/6/2016,"We have an exciting opportunity for a Food Service Worker/Utility! This is a full time 40 hour per week, benefit eligible position. The hired individual performs on a rotating basis various food service assignments related to the delivery of food carts to patients, maintaining cleanliness of the foo ...","Towson, MD",Food Service Worker/Utility (Towson)
Sheppard Pratt,10/6/2016,"Our Nutrition Services has an exciting opportunity for a Food Service Cashier/Barista! This is a per diem/occasional/as needed position. This position operates and maintains the coffee cafe of the Hospital's dining hall during scheduled hours. Determines and communicates order cost, prepares coffee  ...","Towson, MD",Food Service Cashier/Barista (Towson)
Sheppard Pratt,10/6/2016,"Our Nutrition Services has an exciting opportunity for a Food Service Cashier/Barista! This is a 20 hour per week, non benefit eligible position. This position operates and maintains the coffee cafe of the Hospital's dining hall during scheduled hours. Determines and communicates order cost, prepare ...","Towson, MD",Food Service Cashier/Barista (Towson)
Sheppard Pratt,10/6/2016,"The Nutrition Services department has an exciting opportunity for a Cook! This is an occasional/per diem/as needed position. This position is located in the Cafeteria on Sheppard Pratt Health System's main campus in Towson, MD (Baltimore County). Cooks prepare food for residents and cafeteria by fol ...","Towson, MD",Cook (Towson)
Bob Evans Farms,10/6/2016,"Your role as a server is to help prepare and serve the best home style food, as you provide guests with the BEST hospitality and great service. ...","Pasadena, MD",SERVER
Bob Evans Farms,10/6/2016,"As a Kitchen Prep your job is critical to the smooth operation of the restaurant both in supplying the needed food items and in keeping the kitchen organized during the day. You will assist in thawing, baking and preparing food items to meet daily business needs. Cooks some food items by following s ...","Pasadena, MD",KITCHEN PREPARATION
Bob Evans Farms,10/6/2016,"You’ve shared a table with us NOW LET US SHARE A REWARDING CAREER WITH YOU! When you join Bob Evans Farms, you’re joining a trustworthy and socially responsible organization that recognizes people are our greatest asset. And in our restaurants, you’ll have an opportunity to grow wi ...","Pasadena, MD",GRILL COOK
"Gaming and Leisure Properties,...",10/6/2016,"Provides fast, friendly, professional and responsive customer service to restaurant guests and restaurant staff. Greets, and makes welcome, each guest entering restaurant Seats guests in restaurant as per specified rotation requirements Maintains proper seating and reservation documentation Monitors ...","Perryville, MD",Cashier/Host(ess) - Celebrity Bar & Grill
"Gaming and Leisure Properties,...",10/6/2016,"Prepares tableware for washing Collects all soiled pots, washes and restacks cleaned pots on shelves Responsible for removal of garbage and refuse Mops and sweeps floors Washes walls and ceiling tiles Cleans and sanitizes all cooking equipment Proper maintenance and distribution of company assets Se ...","Perryville, MD",Steward
"Gaming and Leisure Properties,...",10/6/2016,"Provides fast, friendly, professional service to casino guests, beverage servers and bartenders Monitors guest consumption of alcohol and intervenes as needed according to guidelines Serves as ambassador of goodwill while working and at customer and public relations functions Promotes casino events  ...","Perryville, MD",Barback
"Gaming and Leisure Properties,...",10/6/2016,Monitors guest consumption of alcohol and intervenes as needed according to guidelines Serves as ambassador of goodwill while working and at customer and public relations functions; appears in publicity photos Promotes casino events and programs Provides personalized service and uses guest name Reso ...,"Perryville, MD",Bartender
Interstate Hotels & Resorts,10/6/2016,This is a career opportunity with Interstate Hotels & Resorts. ...,"Columbia, MD",Room Service
Interstate Hotels & Resorts,10/6/2016,"You enjoy being part of a team that creates an atmosphere where things happen, from staging parties to getting business done. Your role is important to the success of the event, and that matters. Plus, varying schedules for flexibility? Even better. Then, Interstate's Banquet Server position may be  ...","Baltimore, MD",Banquet Server
The Westin,10/6/2016,This is a test description. Job requirements These are test requirements. ...,"Gaithersburg, MD",PM Restaurant Server
SHAKE SHACK,10/6/2016,"Have fun and work hard! As a Shack Team Member, you will learn as you grow – training on every aspect of the operation and progressing in responsibility and pay. You will acquire various certifications along the way and will gain skills and experience to help you contribute to your success and ...","Washington, DC",Shake Shack Restaurant Team Member (Hospitality Food Service...
SHAKE SHACK,10/6/2016,"Have fun and work hard! As a Shack Team Member, you will learn as you grow – training on every aspect of the operation and progressing in responsibility and pay. You will acquire various certifications along the way and will gain skills and experience to help you contribute to your success and ...","Washington, DC",Shake Shack Restaurant Team Member (Hospitality Food Service...
SHAKE SHACK,10/6/2016,"Have fun and work hard! As a Shack Team Member, you will learn as you grow – training on every aspect of the operation and progressing in responsibility and pay. You will acquire various certifications along the way and will gain skills and experience to help you contribute to your success and ...","Oxon Hill, MD",Shake Shack Restaurant Team Member (Hospitality Food Service...
SHAKE SHACK,10/6/2016,"Have fun and work hard! As a Shack Team Member, you will learn as you grow – training on every aspect of the operation and progressing in responsibility and pay. You will acquire various certifications along the way and will gain skills and experience to help you contribute to your success and ...","Baltimore, MD",Shake Shack Restaurant Team Member (Hospitality Food Service...
Cox Enterprises,10/5/2016,Orient and instruct new drivers regarding their job duties and assist supervisor in assigning and directing the work of employees. Communicate with supervisor or manager to assure proper flow of vehicles and maintain log of stock numbers for each vehicle moved and its lot location. Communicate sched ...,"Elkridge, MD",Crew Leader
McDonald's Corporation,10/5/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. But some managers also lead Departments. These managers' responsibilities may include managing assigned Systems, like Training, Food Safet ...","Waldorf, MD",Department Manager - All shifts
McDonald's Corporation,10/5/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. A Shift Manager provides leadership to crew and other managers during a shift to ensure great Quality, Service and Cleanliness to customer ...","Waldorf, MD",Shift manager - All shifts
McDonald's Corporation,10/5/2016,"management Opportunities Description / Requirements Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. But some managers also lead Departments. These managers' responsibilities may include managing assigned Systems, like Training, Food Safet ...","Gaithersburg, MD",Department Manager - All shifts
